creativeID,adID,camgaignID,advertiserID,appID,appPlatform
1315,3319,569,54,389,1
2819,2010,555,8,84,2
537,3066,13,57,421,1
2328,277,131,54,389,1
4654,333,139,10,434,1
2536,973,139,10,434,1
4347,3116,675,8,84,2
469,1188,131,54,389,1
5422,1717,176,29,218,2
3115,2565,552,54,389,1
5669,990,625,57,421,1
1375,2408,197,8,84,2
5412,2712,522,87,116,2
5370,3502,131,54,389,1
4138,1617,131,54,389,1
1585,23,707,36,123,2
4353,3119,552,54,389,1
2601,637,2,36,123,2
2398,2064,73,54,389,1
4097,2447,205,54,389,1
3755,2740,139,10,434,1
127,3154,315,89,420,1
6255,2018,212,15,383,1
6096,12,391,54,389,1
270,1814,73,54,389,1
5109,2082,654,54,389,1
3117,543,139,10,434,1
5590,3233,517,69,428,1
1379,300,552,54,389,1
3708,277,131,54,389,1
6375,870,73,54,389,1
1228,1881,654,54,389,1
467,3081,139,10,434,1
283,1695,658,35,356,1
2120,2940,232,36,123,2
3021,921,18,87,116,2
295,1029,139,10,434,1
3759,474,654,54,389,1
1589,2300,131,54,389,1
3916,1798,569,54,389,1
1254,1593,205,54,389,1
5433,1927,552,54,389,1
1306,2302,164,17,205,2
2237,2522,112,54,389,1
4358,486,112,54,389,1
1850,403,112,54,389,1
65,1184,552,54,389,1
3033,969,73,54,389,1
285,627,569,54,389,1
5976,330,205,54,389,1
3804,1256,569,54,389,1
6067,1464,569,54,389,1
1060,1307,112,54,389,1
1898,2375,56,26,123,2
4060,243,112,54,389,1
5953,1790,73,54,389,1
4961,2626,205,54,389,1
1237,1090,666,80,14,2
3286,1948,647,56,123,2
6557,2803,232,36,123,2
685,2287,139,10,434,1
2416,1218,552,54,389,1
4872,423,56,26,123,2
3864,3009,552,54,389,1
1419,1058,707,36,123,2
1221,854,513,44,421,1
6539,1423,693,26,123,2
5224,1467,131,54,389,1
2850,136,552,54,389,1
1100,2107,552,54,389,1
526,966,7,20,336,2
3664,3390,654,54,389,1
4133,3004,654,54,389,1
1479,452,139,10,434,1
730,87,391,54,389,1
6006,432,139,10,434,1
3927,416,112,54,389,1
3692,1733,552,54,389,1
3010,1445,112,54,389,1
405,3013,139,10,434,1
2453,1147,139,10,434,1
6468,815,707,36,123,2
6070,17,216,80,14,2
752,1962,92,57,421,1
2845,3447,2,36,123,2
5639,3251,139,10,434,1
4585,1747,114,80,14,2
4876,1507,139,10,434,1
6323,83,73,54,389,1
4422,3123,139,10,434,1
5387,607,139,10,434,1
6342,549,569,54,389,1
4186,343,139,10,434,1
2381,839,569,54,389,1
4693,3029,139,10,434,1
1245,1435,2,36,123,2
2552,1980,2,36,123,2
586,2249,205,54,389,1
3659,2020,139,10,434,1
1742,557,139,10,434,1
5110,2720,139,10,434,1
6052,1475,552,54,389,1
4648,2476,139,10,434,1
5860,126,552,54,389,1
4642,1906,324,40,123,2
3433,1046,454,35,356,1
3863,3367,552,54,389,1
4046,3175,112,54,389,1
6131,2221,303,29,286,2
5120,1147,139,10,434,1
1531,2622,139,10,434,1
2032,783,391,54,389,1
3686,130,303,29,286,2
1580,695,131,54,389,1
2426,3378,416,36,123,2
4963,564,684,7,336,2
1248,975,139,10,434,1
5377,2055,569,54,389,1
5651,2685,552,54,389,1
5407,1828,139,10,434,1
6537,987,56,26,123,2
1678,2649,391,54,389,1
3807,2509,139,10,434,1
1525,1283,139,10,434,1
5920,145,372,69,428,1
2204,615,569,54,389,1
5046,535,625,57,421,1
5975,2258,56,26,123,2
2776,3557,139,10,434,1
2702,2963,475,83,150,2
695,3213,164,17,205,2
3161,1517,139,10,434,1
4895,795,231,87,116,2
1444,627,569,54,389,1
1094,2498,204,83,150,2
907,1604,139,10,434,1
413,898,205,54,389,1
819,1428,205,54,389,1
5811,1481,139,10,434,1
2461,58,205,54,389,1
2572,9,218,80,14,2
477,2262,391,54,389,1
2247,391,654,54,389,1
5141,2208,139,10,434,1
1858,3460,139,10,434,1
256,97,139,10,434,1
218,1643,73,54,389,1
126,290,139,10,434,1
5730,3575,139,10,434,1
497,383,391,54,389,1
94,404,139,10,434,1
3409,1577,139,10,434,1
3522,1810,139,10,434,1
5525,751,391,54,389,1
2645,36,131,54,389,1
4592,1711,139,10,434,1
4928,728,552,54,389,1
4765,1679,68,8,84,2
4051,1328,647,56,123,2
6346,145,372,69,428,1
2133,155,510,40,123,2
2513,3487,139,10,434,1
3552,2531,131,54,389,1
3731,2536,667,8,84,2
3729,2872,164,17,205,2
416,3221,139,10,434,1
1670,1804,181,91,84,2
5489,1617,131,54,389,1
3494,1609,139,10,434,1
4723,594,191,47,328,2
4940,2800,654,54,389,1
1290,130,303,29,286,2
1880,3140,615,26,123,2
1942,3241,56,26,123,2
5879,1335,417,2,319,2
4652,64,139,10,434,1
4525,11,139,10,434,1
4183,1862,552,54,389,1
2596,1955,139,10,434,1
56,2404,131,54,389,1
775,2781,139,10,434,1
204,1489,164,17,205,2
4428,3215,56,26,123,2
3482,2685,552,54,389,1
260,1733,552,54,389,1
1792,2851,73,54,389,1
679,2077,512,57,421,1
